Date,From,To,Mode,Distance (mi)
2025-01-06 17:32,"Hailey, United States","King, United States",Flight,443.85
2025-01-06 17:37,"King, United States","Bellevue, United States",Flight,449.68
2025-01-06 17:43,"Blaine County, United States","Camas County, United States",Car,22.47
2025-01-06 17:49,"Camas County, United States","Elmore County, United States",Car,14.83
2025-01-06 18:15,"Elmore County, United States","Union, United States",Flight,170.93
2025-01-06 18:33,"Union, United States","Sunnyside, United States",Flight,121.69
2025-01-06 18:46,"Sunnyside, United States","Yakima County, United States",Car,77.62
2025-01-06 18:51,"Yakima County, United States","King, United States",Car,32.57
2025-01-06 21:06,"Kent, United States","Mercer Island, United States",Car,17.08
2025-01-10 04:20,"SeaTac, United States","Kihei, United States",Flight,2653.92
2025-01-14 20:58,"Kihei, United States","Kahului, United States",Car,12.04
2025-01-14 20:59,"Kahului, United States","Kihei, United States",Car,12.06
2025-01-25 03:35,"Kahului, United States","Kihei, United States",Car,14.75
2025-01-25 23:30,"Paia, United States","Kihei, United States",Car,11.94
2025-01-25 23:34,"Kihei, United States","Paia, United States",Car,10.57
2025-02-16 18:27,"Maalaea, United States","Lahaina, United States",Car,11.33
2025-02-24 20:25,"Kihei, United States","Kahului, United States",Car,11.93
2025-03-13 01:01,"Maui County, United States","Kalaoa, United States",Car,83.71
2025-03-15 00:03,"Kailua, United States","Wailuku, United States",Car,83.96
2025-03-21 03:11,"Kahului, United States","SeaTac, United States",Flight,2639.87
2025-03-21 16:58,"Mercer Island, United States","Fort Lewis, United States",Car,41.37
2025-03-21 17:01,"Fort Lewis, United States","Mercer Island, United States",Car,41.25
2025-03-21 19:05,"Lacey, United States","Seattle, United States",Car,39.86
2025-03-21 19:17,"Seattle, United States","Fort Lewis, United States",Car,35.56
2025-03-22 16:24,"Tukwila, United States","Pierce County, United States",Car,53.32
2025-03-22 16:29,"Pierce County, United States","Yakima, United States",Car,43.36
2025-03-22 23:45,"Yakima, United States","Sun Valley, United States",Flight,377.57
2025-03-29 16:05,"Hailey, United States","Seattle, United States",Flight,482.36
2025-04-03 23:22,"Seatac, United States","Kahului, United States",Flight,2646.2
2025-04-15 18:58,"Kihei, United States","Kahului, United States",Car,13.07
2025-04-15 19:00,"Kahului, United States","Kihei, United States",Car,12.58
2025-04-25 19:16,"Wailea, United States","Kaupakalua, United States",Car,19.53
2025-04-25 19:20,"Kaupakalua, United States","Kihei, United States",Car,16.9
2025-04-30 00:13,"Lahaina, United States","Kihei, United States",Car,16.72
2025-04-30 00:19,"Kihei, United States","Lahaina, United States",Car,15.08
2025-05-12 01:00,"Maui County, United States","None, None",Flight,566.89
2025-05-12 05:27,"None, None","SeaTac, United States",Flight,1294.78
2025-05-13 20:41,"SeaTac, United States","Las Veredas, Mexico",Flight,1816.55
2025-05-18 21:50,"Los Cabos Municipality, Mexico","Las Veredas, Mexico",Car,12.57
2025-05-19 02:50,"Las Veredas, Mexico","SeaTac, United States",Flight,1817.12
2025-05-28 15:01,"Seattle, United States","San Juan, United States",Car,75.36
2025-05-28 15:16,"San Juan, United States","Seattle, United States",Car,72.54
2025-06-01 17:48,"Roche Harbor, United States","Kitsap, United States",Car,58.23
2025-06-01 17:50,"Kitsap, United States","San Juan County, United States",Car,58.68
2025-06-07 10:07,"SeaTac, United States","Schiphol, Netherlands",Flight,4871.78
2025-06-07 15:21,"Schiphol, Netherlands","Fiumicino, Italy",Flight,806.38
2025-06-07 15:58,"Fiumicino, Italy","Bracciano, Italy",Car,17.48
2025-06-07 16:00,"Bracciano, Italy","Fiumicino, Italy",Car,13.85
2025-06-08 07:11,"Canale Monterano, Italy","Attigliano, Italy",Car,30.14
2025-06-08 07:19,"Attigliano, Italy","Canale Monterano, Italy",Car,28.07
2025-06-08 08:58,"Bomarzo, Italy","Colle Di Val D'Elsa, Italy",Car,82.49
2025-06-08 08:59,"Colle Di Val D'Elsa, Italy","Civitella D'Agliano, Italy",Car,77.03
2025-06-08 09:26,"Ficulle, Italy","Cetona, Italy",Car,10.69
2025-06-08 09:34,"Cetona, Italy","Montepulciano Stazione, Italy",Car,10.26
2025-06-11 08:21,"Tavarnelle Val Di Pesa, Italy","Florence, Italy",Car,11.71
2025-06-11 08:25,"Florence, Italy","Tavarnelle Val Di Pesa, Italy",Car,11.1
